,year,factor,x,mean,stderr,status
0,2000,Adult Mortality,7.1,78.6167774737003,0.8482699983386193,Developed
1,2000,Adult Mortality,12.873469387755101,79.13261301281099,0.8512402070404912,Developed
2,2000,Adult Mortality,18.6469387755102,79.66090814190592,0.7354528783079173,Developed
3,2000,Adult Mortality,24.420408163265307,80.22744434584402,0.6040228281423807,Developed
4,2000,Adult Mortality,30.193877551020407,80.79398054978208,0.4899261636778823,Developed
5,2000,Adult Mortality,35.967346938775506,81.36051675372012,0.4079744391851308,Developed
6,2000,Adult Mortality,41.74081632653061,81.92705295765815,0.37959197625082075,Developed
7,2000,Adult Mortality,47.51428571428571,82.4935891615962,0.41589472474758893,Developed
8,2000,Adult Mortality,53.28775510204081,82.47322396884847,0.3005852178866548,Developed
9,2000,Adult Mortality,59.06122448979591,81.94686034348413,0.19910972787253095,Developed
10,2000,Adult Mortality,64.834693877551,81.41538449308126,0.22999140005855065,Developed
11,2000,Adult Mortality,70.60816326530612,80.76593146626342,0.34074653832495283,Developed
12,2000,Adult Mortality,76.38163265306122,79.99475444714132,0.3165171534732094,Developed
13,2000,Adult Mortality,82.15510204081632,79.28960866062116,0.2176789655495849,Developed
14,2000,Adult Mortality,87.92857142857142,78.68726488039889,0.16819187023796112,Developed
15,2000,Adult Mortality,93.70204081632652,78.20813219650347,0.14961887102031698,Developed
16,2000,Adult Mortality,99.47551020408162,77.77457764848174,0.13757082393126654,Developed
17,2000,Adult Mortality,105.24897959183672,77.32343415509978,0.13420174976617302,Developed
18,2000,Adult Mortality,111.02244897959181,76.87389432573636,0.1520578601944583,Developed
19,2000,Adult Mortality,116.79591836734691,76.43713309232106,0.17100791037779106,Developed
20,2000,Adult Mortality,122.56938775510201,76.00605638161352,0.19309515472537583,Developed
21,2000,Adult Mortality,128.34285714285713,75.59283530890619,0.22791652352038128,Developed
22,2000,Adult Mortality,134.11632653061224,75.20220379850952,0.2795517023811845,Developed
23,2000,Adult Mortality,139.88979591836733,74.84381940569318,0.3435396801124735,Developed
24,2000,Adult Mortality,145.66326530612244,74.52559471729406,0.40921281174765545,Developed
25,2000,Adult Mortality,151.43673469387753,74.21969335889156,0.4765250244205764,Developed
26,2000,Adult Mortality,157.21020408163264,73.92799202061322,0.5439827826977877,Developed
27,2000,Adult Mortality,162.98367346938772,73.66767470988873,0.6059118646373959,Developed
28,2000,Adult Mortality,168.75714285714284,73.42933991156329,0.6675842427093942,Developed
29,2000,Adult Mortality,174.53061224489792,73.20242294225588,0.731391272391163,Developed
30,2000,Adult Mortality,180.30408163265304,72.98095984958323,0.7960054311893595,Developed
31,2000,Adult Mortality,186.07755102040812,72.77633389296838,0.8604449594548453,Developed
32,2000,Adult Mortality,191.85102040816324,72.56121615605228,0.9250549931515,Developed
33,2000,Adult Mortality,197.62448979591835,72.34634974009798,0.9942451158945717,Developed
34,2000,Adult Mortality,203.39795918367344,72.1310937241407,1.0644821150669814,Developed
35,2000,Adult Mortality,209.17142857142855,71.91575550212512,1.1363502351651384,Developed
36,2000,Adult Mortality,214.94489795918363,71.70097622314289,1.2108620666103151,Developed
37,2000,Adult Mortality,220.71836734693875,71.48692943849922,1.2867669703604085,Developed
38,2000,Adult Mortality,226.49183673469383,71.27843688841527,1.3712106190638402,Developed
39,2000,Adult Mortality,232.26530612244895,71.08129591809514,1.4525036107448,Developed
40,2000,Adult Mortality,238.03877551020403,70.87241514464232,1.533053890821551,Developed
41,2000,Adult Mortality,243.81224489795915,70.6348767860457,1.631900398674392,Developed
42,2000,Adult Mortality,249.58571428571426,70.42575303295655,1.7160649765697966,Developed
43,2000,Adult Mortality,255.35918367346935,70.21662927986746,1.8008081151394264,Developed
44,2000,Adult Mortality,261.13265306122446,69.98277750828211,1.9121129059375637,Developed
45,2000,Adult Mortality,266.9061224489796,69.77244290383247,1.9987643177933034,Developed
46,2000,Adult Mortality,272.6795918367347,69.56210829938283,2.085820550447633,Developed
47,2000,Adult Mortality,278.4530612244898,69.35177369493323,2.173232955025947,Developed
48,2000,Adult Mortality,284.2265306122449,69.14143909048357,2.2609602213456017,Developed
49,2000,Adult Mortality,290.0,68.93110448603395,2.3489670720890716,Developed
50,2000,Adult Mortality,7.4,78.27557609960488,1.7813340035279905,Developing
51,2000,Adult Mortality,21.514285714285712,77.97198670853122,1.5516680512006384,Developing
52,2000,Adult Mortality,35.628571428571426,77.63962354890856,1.329738290036749,Developing
53,2000,Adult Mortality,49.74285714285714,77.30712290456246,1.1258179995150415,Developing
54,2000,Adult Mortality,63.857142857142854,77.00751761541345,0.9691927852607167,Developing
55,2000,Adult Mortality,77.97142857142858,77.04784770314035,0.9706642933536809,Developing
56,2000,Adult Mortality,92.08571428571429,76.53518613797085,0.7328343030990991,Developing
57,2000,Adult Mortality,106.2,75.56282487346965,0.5163288822829089,Developing
58,2000,Adult Mortality,120.31428571428572,74.59105534221095,0.3511318634519836,Developing
59,2000,Adult Mortality,134.42857142857142,73.82924397533034,0.28761116007556187,Developing
60,2000,Adult Mortality,148.54285714285714,72.91372402812254,0.34635120659654106,Developing
61,2000,Adult Mortality,162.65714285714287,71.7934351294968,0.46066434687415475,Developing
62,2000,Adult Mortality,176.77142857142857,70.49801923767546,0.6061631932705838,Developing
63,2000,Adult Mortality,190.88571428571427,69.1064167673411,0.5776168070722595,Developing
64,2000,Adult Mortality,205.0,67.74879700040073,0.5804168038518325,Developing
65,2000,Adult Mortality,219.11428571428573,66.41925031390736,0.6211941819472876,Developing
