,year,factor,x,mean,stderr,status
0,2000,Adult Mortality,7.1,78.5154026544704,0.7271391417474514,Developed
1,2000,Adult Mortality,12.873469387755101,79.11687482958486,0.9538863988049674,Developed
2,2000,Adult Mortality,18.6469387755102,79.6452618805097,0.820819510508686,Developed
3,2000,Adult Mortality,24.420408163265307,80.21442169842545,0.685067345628729,Developed
4,2000,Adult Mortality,30.193877551020407,80.78358151634126,0.5679569453360727,Developed
5,2000,Adult Mortality,35.967346938775506,81.35274133425696,0.483237146707275,Developed
6,2000,Adult Mortality,41.74081632653061,81.92190115217272,0.4496069535201957,Developed
7,2000,Adult Mortality,47.51428571428571,82.49106097008851,0.4779748004270203,Developed
8,2000,Adult Mortality,53.28775510204081,82.49391199927285,0.37333043206883704,Developed
9,2000,Adult Mortality,59.06122448979591,81.93967775184598,0.22703749070562143,Developed
10,2000,Adult Mortality,64.834693877551,81.38829937472002,0.23451151095990133,Developed
11,2000,Adult Mortality,70.60816326530612,80.7335831798477,0.36658844128973334,Developed
12,2000,Adult Mortality,76.38163265306122,79.96133138744706,0.31008724499180157,Developed
13,2000,Adult Mortality,82.15510204081632,79.25741712804768,0.21999215991270557,Developed
14,2000,Adult Mortality,87.92857142857142,78.65108311987899,0.20536994464251782,Developed
15,2000,Adult Mortality,93.70204081632652,78.19100346705008,0.19396391729137125,Developed
16,2000,Adult Mortality,99.47551020408162,77.76381500422474,0.17507004848347468,Developed
17,2000,Adult Mortality,105.24897959183672,77.30979180782937,0.16544620969582863,Developed
18,2000,Adult Mortality,111.02244897959181,76.85681171225548,0.1795464379485411,Developed
19,2000,Adult Mortality,116.79591836734691,76.41789640564713,0.18348903877678052,Developed
20,2000,Adult Mortality,122.56938775510201,75.9780397714938,0.1895182415140227,Developed
21,2000,Adult Mortality,128.34285714285713,75.5454685614363,0.2031518081021483,Developed
22,2000,Adult Mortality,134.11632653061224,75.13561415553437,0.23224290333047715,Developed
23,2000,Adult Mortality,139.88979591836733,74.76261236310661,0.272820197509376,Developed
24,2000,Adult Mortality,145.66326530612244,74.43547365272275,0.31347942351479124,Developed
25,2000,Adult Mortality,151.43673469387753,74.12556953623333,0.3565725457300628,Developed
26,2000,Adult Mortality,157.21020408163264,73.8327800119892,0.4037663886653153,Developed
27,2000,Adult Mortality,162.98367346938772,73.57313174386869,0.44760323819968095,Developed
28,2000,Adult Mortality,168.75714285714284,73.33995312815237,0.4918914356468619,Developed
29,2000,Adult Mortality,174.53061224489792,73.11489240986383,0.5416769734527702,Developed
30,2000,Adult Mortality,180.30408163265304,72.89592820716717,0.5891836075085221,Developed
31,2000,Adult Mortality,186.07755102040812,72.69424358271772,0.6380195597519711,Developed
32,2000,Adult Mortality,191.85102040816324,72.49966049232673,0.6967308923615889,Developed
33,2000,Adult Mortality,197.62448979591835,72.3082871848059,0.7675048000489663,Developed
34,2000,Adult Mortality,203.39795918367344,72.11799557945798,0.848413776561644,Developed
35,2000,Adult Mortality,209.17142857142855,71.92828200321631,0.9375009628665476,Developed
36,2000,Adult Mortality,214.94489795918363,71.73872767416027,1.0318160904794393,Developed
37,2000,Adult Mortality,220.71836734693875,71.54996574480347,1.130726050782852,Developed
38,2000,Adult Mortality,226.49183673469383,71.3692677216797,1.2331789588780073,Developed
39,2000,Adult Mortality,232.26530612244895,71.14023464722848,1.2521037491290172,Developed
40,2000,Adult Mortality,238.03877551020403,70.94919587560818,1.3420902691765588,Developed
41,2000,Adult Mortality,243.81224489795915,70.73539261594627,1.4647904239423393,Developed
42,2000,Adult Mortality,249.58571428571426,70.54387482308384,1.5591882261725167,Developed
43,2000,Adult Mortality,255.35918367346935,70.35235703022146,1.6542668822975062,Developed
44,2000,Adult Mortality,261.13265306122446,70.1535557813553,1.7585860697702107,Developed
45,2000,Adult Mortality,266.9061224489796,69.96204956714604,1.85519624246019,Developed
46,2000,Adult Mortality,272.6795918367347,69.77054335293668,1.952231786722804,Developed
47,2000,Adult Mortality,278.4530612244898,69.57903713872739,2.0496322884720986,Developed
48,2000,Adult Mortality,284.2265306122449,69.38753092451805,2.147348086502926,Developed
49,2000,Adult Mortality,290.0,69.19602471030878,2.2453380166629984,Developed
50,2000,Adult Mortality,7.4,78.26101466318433,1.5258226374031612,Developing
51,2000,Adult Mortality,21.39183673469388,77.97354518274719,1.373971491675838,Developing
52,2000,Adult Mortality,35.38367346938776,77.62511602146084,1.187114058198221,Developing
53,2000,Adult Mortality,49.375510204081635,77.27780456843783,1.017889837429908,Developing
54,2000,Adult Mortality,63.36734693877551,76.94873590873033,0.8826465398851993,Developing
55,2000,Adult Mortality,77.3591836734694,76.89561043823173,0.9052540649195584,Developing
56,2000,Adult Mortality,91.35102040816328,76.47827608406634,0.7152400346784037,Developing
57,2000,Adult Mortality,105.34285714285716,75.54021477199511,0.4911666886546594,Developing
58,2000,Adult Mortality,119.33469387755103,74.59846971673254,0.36319115237022365,Developing
59,2000,Adult Mortality,133.3265306122449,73.86743369708527,0.32196534472773775,Developing
60,2000,Adult Mortality,147.3183673469388,73.04733090726893,0.38048223445101687,Developing
61,2000,Adult Mortality,161.31020408163266,72.03795324108049,0.4974868272485215,Developing
62,2000,Adult Mortality,175.30204081632655,70.81083380106345,0.607097096771892,Developing
63,2000,Adult Mortality,189.29387755102042,69.43387273386993,0.6343706221663113,Developing
64,2000,Adult Mortality,203.2857142857143,68.0763747037951,0.6107702229825893,Developing
65,2000,Adult Mortality,217.27755102040817,66.71992410535468,0.6169625911592024,Developing
